,user,text,favorite_count,retweet_count,created_at
42,JeffBezos,@pdashtdoteth Ha. Honesty and directness. Best bet.,290,13,2022-05-13 19:45:48+00:00
43,JeffBezos,@Molson_Hart Thank you!,222,9,2022-05-13 19:44:19+00:00
44,JeffBezos,@Hirominlol Space squirrels are real.,1790,186,2022-05-13 19:41:05+00:00
45,JeffBezos,"@dsaezgil For most things, six pages.",436,14,2022-05-13 19:34:14+00:00
46,JeffBezos,@lacostejonathan Happy about that. Thank you.,148,6,2022-05-13 19:31:45+00:00
47,JeffBezos,@BillyM2k Damn good advice,6030,301,2022-05-13 19:23:58+00:00
48,JeffBezos,Slide decks are maybe useful for persuasion — think sales calls. But you don’t want that for internal decision meetings.,3758,240,2022-05-13 19:21:53+00:00
49,JeffBezos,Help me out. How do I edit a typo on twitter? Oh right…,7049,348,2022-05-13 19:02:25+00:00
50,JeffBezos,Slide decks hide can shallow thinking. Narratively structured memos are harder to write because they require better thinking. It’s worth it. https://t.co/vIUX5I8QPl,13243,1202,2022-05-13 18:56:54+00:00
51,JeffBezos,Big potential. https://t.co/vhBoYLQZhJ,2230,185,2022-05-13 17:07:53+00:00
52,JeffBezos,@osiris7895 @StatueEllisFdn I’d be a very happy software engineer somewhere.,669,32,2022-05-13 16:47:46+00:00
53,JeffBezos,"My dad is an intense, hard worker, and he’s also warm and teaches an easy smile and self-deprecating humor. My brother, sister and I could not have a better role model. We love him and are so proud of him for this well-deserved recognition from @StatueEllisFdn https://t.co/d8sS2OLeji",3696,311,2022-05-13 16:41:14+00:00
54,JeffBezos,Agree 100%. Would add: Civility is hard. Name calling and ad hominem attacks are easy and when you use them it makes it harder to work together. https://t.co/6lqQJHm5vk,5062,427,2022-05-12 23:42:37+00:00
55,JeffBezos,"Congrats, Katya! https://t.co/vMeAO3IpEt",2788,270,2022-05-09 23:03:17+00:00
56,JeffBezos,The Pulitzers’ gold medal prize for public service isn’t given to an individual but to the entire organization. Huge kudos and congrats to the whole Washington Post team! https://t.co/c1RND805ME,1365,143,2022-05-09 21:49:32+00:00
57,JeffBezos,"Mom, I have no idea how you did what you did.  You kept us both safe inside your heart. Thank you for sharing your strength and for all the sacrifices you made. I love you. https://t.co/13WsOkBNTi",33083,1254,2022-05-08 15:56:12+00:00
58,JeffBezos,@BillyM2k Yep. Me neither.,879,61,2022-05-08 05:10:40+00:00
59,JeffBezos,Too many of our elected officials are still using these techniques…https://t.co/wnIU6FkR4m,7737,920,2022-05-08 02:40:53+00:00
60,JeffBezos,Bill is without doubt one of the smartest people I know and always worth listening to. Most people dramatically underestimate the remarkableness of this bull run. Such things are unstoppable … until they aren’t.  Markets teach. The lessons can be painful. https://t.co/4DjgEvr0tg,13465,1593,2022-04-30 23:30:49+00:00
61,JeffBezos,@zebulgar You’ve read seveneves 12 times?!!! Amazing. I knew you were a good follow!,946,17,2022-04-29 21:44:01+00:00
62,JeffBezos,So damn cool. Congrats to MiMi and the whole Mars helicopter team. https://t.co/8KWQoLbtHV,3591,288,2022-04-28 21:23:33+00:00
63,JeffBezos,Now THAT’S a good use of twitter. https://t.co/R2fiTCJYO8,7254,280,2022-04-27 14:05:08+00:00
64,JeffBezos,But we’ll see. Musk is extremely good at navigating this kind of complexity.,11747,689,2022-04-26 01:06:11+00:00
65,JeffBezos,"My own answer to this question is probably not. The more likely outcome in this regard is complexity in China for Tesla, rather than censorship at Twitter.",7577,542,2022-04-26 01:05:05+00:00
66,JeffBezos,Agree — this is a fascinating piece — no one drawn as a cartoon. Thanks for the link and reco. https://t.co/92rd4a1g6o,5321,336,2022-04-26 00:11:03+00:00
67,JeffBezos,Interesting question. Did the Chinese government just gain a bit of leverage over the town square? https://t.co/jTiEnabP6T,29549,5452,2022-04-25 23:29:44+00:00
68,JeffBezos,One of the many steps we’re making to meet our Climate Pledge commitment. https://t.co/GnglKW2kDI,2225,184,2022-04-21 04:42:11+00:00
69,JeffBezos,"Pls consider taking a moment and voting for Van Jones and Uncommon Ground. He’s a passionate, courageous leader with a big tent approach — a unifier who stays focused on the mission and takes help from all corners. We’d all be a bit better off if more people took that approach. https://t.co/hPHcgbOWz5",1227,116,2022-04-19 21:33:54+00:00
70,JeffBezos,Here’s the short version…https://t.co/g6aToK1Ikk,1217,118,2022-04-19 01:46:52+00:00
71,JeffBezos,https://t.co/lsjYrvanye,1898,203,2022-04-19 01:44:18+00:00
